order_id,region,amount,currency,completed_at
500099,EU,48.81,EUR,2026-08-29 13:49:00
500100,EU,188.89,EUR,2026-08-29 08:59:00
500101,EU,166.08,EUR,2026-08-29 22:38:00
500102,EU,150.96,EUR,2026-08-29 12:38:00
500103,EU,36.3,EUR,2026-08-29 02:15:00
500104,EU,239.02,EUR,2026-08-29 01:07:00
500105,EU,55.33,EUR,2026-08-29 09:11:00
500106,EU,197.32,EUR,2026-08-29 21:56:00
500107,EU,123.33,EUR,2026-08-29 04:34:00
500108,EU,240.66,EUR,2026-08-29 03:23:00
500109,EU,134.66,EUR,2026-08-29 00:02:00
500110,EU,15.55,EUR,2026-08-29 05:26:00
500111,EU,108.4,EUR,2026-08-29 16:43:00
500112,EU,59.16,EUR,2026-08-29 13:49:00
500113,EU,156.19,EUR,2026-08-29 20:38:00
500114,EU,61.34,EUR,2026-08-29 22:20:00
500115,EU,187.74,EUR,2026-08-29 23:16:00
500116,EU,167.01,EUR,2026-08-29 23:01:00
500117,EU,167.02,EUR,2026-08-29 02:21:00
500118,EU,219.59,EUR,2026-08-29 02:48:00
500119,EU,77.13,EUR,2026-08-29 00:36:00
500120,EU,219.26,EUR,2026-08-29 17:34:00
500121,EU,45.73,EUR,2026-08-29 21:50:00
500122,EU,63.83,EUR,2026-08-29 23:42:00
500123,EU,175.74,EUR,2026-08-29 10:23:00
500124,EU,195.74,EUR,2026-08-29 07:13:00
500125,EU,158.41,EUR,2026-08-29 06:17:00
500126,EU,105.25,EUR,2026-08-29 06:00:00
