log_time,log_level,service,message
2026-08-25 18:03:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 19:13:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 15:43:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 17:27:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 10:29:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 18:59:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 14:23:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 09:15:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 05:44:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 07:05:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 18:19:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 16:31:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 10:46:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 14:18:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 19:04:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 03:32:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 13:10:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 10:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 15:26:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 01:42:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 02:48:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 17:36:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 10:21:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 22:22:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 19:31:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 18:51:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 14:04:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 02:17:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 15:44:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 21:04:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 01:46:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 22:19:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 20:36:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 21:52:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 14:18:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 22:24:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 21:22:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 00:29:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 11:10:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 19:07:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 15:03:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 06:49:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 09:08:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 23:15:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 12:25:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 15:05:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 05:28:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 12:35:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 08:56:00,WARN,auth-service,"token expired, refreshing"
2026-08-25 04:52:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 13:55:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 17:17:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 22:26:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:43:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 12:14:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 04:05:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 05:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 07:42:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 07:00:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 15:53:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 18:11:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 08:18:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 00:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 13:34:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:39:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 18:20:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 04:44:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 16:39:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 20:43:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 23:03:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 14:57:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 21:51:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 17:25:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 12:25:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 12:06:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 15:40:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 12:03:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 06:04:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 06:28:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 05:07:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 10:38:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 01:06:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 00:36:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 04:34:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 03:23:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 19:01:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 02:55:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 06:39:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 12:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 20:16:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:38:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 03:07:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 15:29:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 15:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 09:05:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 04:06:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 23:21:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 23:16:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 15:53:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 22:10:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 16:01:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 06:33:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 22:34:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 00:48:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 16:19:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 20:55:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 02:44:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 08:33:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:58:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 05:22:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 07:34:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 17:49:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 16:21:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 20:14:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 19:51:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 06:51:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 07:52:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 12:47:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 07:12:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 16:31:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:46:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 00:01:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 08:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 08:12:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 22:38:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:28:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 23:22:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 11:05:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 07:06:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 07:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 06:21:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 06:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 19:57:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 19:53:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 00:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 20:22:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 20:05:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 21:07:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 12:50:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 22:48:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 06:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 05:27:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 20:21:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 02:51:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 23:25:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 14:25:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 23:05:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 23:10:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 05:08:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 00:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 18:57:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 14:51:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 20:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 19:52:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 19:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 21:59:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 11:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 17:35:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 04:01:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 00:51:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 23:41:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 03:33:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 23:59:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 04:27:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 06:52:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 06:01:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 08:13:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 09:32:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 07:48:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 18:20:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 08:34:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 13:53:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 04:03:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 23:22:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 14:42:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 18:52:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 16:26:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 16:08:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 17:09:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 16:32:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 00:55:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 14:49:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 05:38:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 00:49:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 04:11:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 04:30:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 19:46:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 03:35:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 01:20:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 21:33:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 16:35:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 15:50:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 03:56:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 17:03:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 07:12:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 08:02:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 03:32:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 14:35:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 00:48:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 02:28:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 10:39:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 16:38:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 16:12:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 22:17:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 14:32:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 17:51:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 15:32:00,WARN,auth-service,"token expired, refreshing"
2026-08-27 07:44:00,WARN,auth-service,"token expired, refreshing"
2026-08-26 16:56:00,ERROR,orders-ingestion,connection refused: upstream host api.ordersource.internal unreachable
2026-08-26 08:59:00,ERROR,orders-ingestion,connection refused: upstream host api.ordersource.internal unreachable
2026-08-26 17:57:00,ERROR,orders-ingestion,connection refused: upstream host api.ordersource.internal unreachable
2026-08-27 06:53:00,ERROR,orders-ingestion,connection refused: upstream host api.ordersource.internal unreachable
2026-08-27 14:08:00,ERROR,orders-ingestion,connection refused: upstream host api.ordersource.internal unreachable
2026-08-27 13:07:00,ERROR,orders-ingestion,connection refused: upstream host api.ordersource.internal unreachable
