order_id,customer_id,amount,currency,completed_ts
200081,1920,113.38,USD,2026-08-22 18:46:00
200082,9149,55.54,USD,2026-08-22 03:00:00
200083,4519,145.28,USD,2026-08-22 11:40:00
200084,6711,221.03,USD,2026-08-22 02:32:00
200085,2194,34.09,USD,2026-08-22 10:56:00
200086,8958,225.93,USD,2026-08-22 22:01:00
200087,9598,53.55,USD,2026-08-22 11:25:00
200088,6216,194.32,USD,2026-08-22 21:10:00
200089,3333,18.07,USD,2026-08-22 00:03:00
200090,2358,148.13,USD,2026-08-22 22:23:00
200091,5576,236.55,USD,2026-08-22 02:59:00
200092,4050,183.02,USD,2026-08-22 19:13:00
200093,1202,178.46,USD,2026-08-22 20:53:00
200094,4213,115.24,USD,2026-08-22 18:34:00
200095,5472,94.94,USD,2026-08-22 09:03:00
200096,7218,155.09,USD,2026-08-22 16:04:00
200097,2963,150.8,USD,2026-08-23 00:01:00
200098,2368,43.87,USD,2026-08-23 14:10:00
200099,2479,122.76,USD,2026-08-23 16:03:00
200100,2838,202.73,USD,2026-08-23 19:15:00
200101,3634,143.58,USD,2026-08-23 00:02:00
200102,5966,166.85,USD,2026-08-23 01:18:00
200103,2406,91.35,USD,2026-08-23 16:35:00
200104,9964,73.18,USD,2026-08-23 13:51:00
200105,3666,211.03,USD,2026-08-23 08:56:00
200106,4885,171.33,USD,2026-08-23 20:51:00
200107,6643,37.32,USD,2026-08-23 12:24:00
200108,4730,244.24,USD,2026-08-23 08:29:00
200109,7585,230.04,USD,2026-08-23 12:17:00
200110,5882,233.66,USD,2026-08-23 22:25:00
200111,8853,45.09,USD,2026-08-23 03:06:00
200112,5925,40.76,USD,2026-08-23 11:02:00
200113,1519,23.07,USD,2026-08-23 11:55:00
200114,1558,120.64,USD,2026-08-23 17:34:00
200115,4087,215.41,USD,2026-08-23 10:34:00
200116,9761,137.56,USD,2026-08-23 13:10:00
200117,5779,96.22,USD,2026-08-23 01:20:00
200118,3127,232.93,USD,2026-08-23 18:01:00
200119,8003,229.69,USD,2026-08-23 00:36:00
200120,1251,207.75,USD,2026-08-23 10:31:00
200121,1035,223.08,USD,2026-08-23 12:05:00
200122,3684,19.9,USD,2026-08-23 03:38:00
200123,4142,128.77,USD,2026-08-23 14:00:00
200124,2199,153.89,USD,2026-08-23 00:17:00
200125,2280,193.92,USD,2026-08-23 08:20:00
200126,5522,23.75,USD,2026-08-23 21:13:00
200127,2334,82.42,USD,2026-08-23 16:03:00
200128,5916,116.25,USD,2026-08-23 09:05:00
200129,3427,114.4,USD,2026-08-23 10:22:00
200130,5105,119.36,USD,2026-08-23 21:31:00
200131,5384,36.08,USD,2026-08-23 10:29:00
200132,5418,187.5,USD,2026-08-23 04:21:00
200133,4871,115.97,USD,2026-08-23 09:02:00
200134,3676,141.57,USD,2026-08-23 17:43:00
200135,9399,130.05,USD,2026-08-23 12:53:00
200136,7740,239.93,USD,2026-08-23 10:06:00
200137,9046,39.75,USD,2026-08-23 01:07:00
200138,8333,44.37,USD,2026-08-23 05:16:00
200139,7122,74.62,USD,2026-08-23 13:01:00
200140,7846,102.04,USD,2026-08-23 21:01:00
200141,5014,96.43,USD,2026-08-23 22:08:00
200142,7234,118.27,USD,2026-08-23 21:13:00
200143,9505,138.6,USD,2026-08-23 17:39:00
200144,8920,159.39,USD,2026-08-23 15:26:00
200145,9772,76.39,USD,2026-08-23 10:04:00
200146,1417,224.71,USD,2026-08-23 15:01:00
200147,4779,243.08,USD,2026-08-23 09:21:00
200148,5528,118.93,USD,2026-08-23 03:34:00
200149,5093,190.14,USD,2026-08-23 15:16:00
200150,6962,224.31,USD,2026-08-23 23:13:00
200151,8812,187.68,USD,2026-08-23 15:20:00
200152,7685,128.86,USD,2026-08-23 01:05:00
200153,4738,98.6,USD,2026-08-23 09:56:00
200154,2156,195.46,USD,2026-08-23 09:00:00
200155,8607,140.06,USD,2026-08-23 02:09:00
200156,1770,187.56,USD,2026-08-23 21:56:00
200157,2340,36.31,USD,2026-08-23 19:42:00
200158,3391,227.18,USD,2026-08-23 22:16:00
200159,6943,86.6,USD,2026-08-23 08:08:00
200160,7302,92.9,USD,2026-08-23 07:17:00
200161,9675,183.83,USD,2026-08-23 20:49:00
200162,4260,175.0,USD,2026-08-23 06:09:00
200163,6149,56.26,USD,2026-08-23 20:54:00
200164,1834,92.44,USD,2026-08-23 23:26:00
200165,2693,224.35,USD,2026-08-23 01:41:00
200166,4259,203.36,USD,2026-08-23 14:20:00
200167,7930,182.44,USD,2026-08-23 02:05:00
200168,6061,128.42,USD,2026-08-23 22:12:00
200169,3533,97.43,USD,2026-08-23 19:49:00
200170,3773,146.32,USD,2026-08-23 15:59:00
200171,9283,126.88,USD,2026-08-23 10:21:00
200172,9083,210.79,USD,2026-08-23 01:01:00
200173,8523,142.86,USD,2026-08-23 17:44:00
200174,6217,139.97,USD,2026-08-23 13:26:00
200175,1079,116.25,USD,2026-08-23 11:22:00
200176,8532,39.32,USD,2026-08-23 23:41:00
200177,1962,188.03,USD,2026-08-23 01:44:00
200178,1187,79.98,USD,2026-08-23 11:16:00
200179,3966,185.01,USD,2026-08-23 13:58:00
200180,5183,72.65,USD,2026-08-23 05:49:00
200181,3711,191.1,USD,2026-08-23 14:24:00
200182,7376,106.23,USD,2026-08-23 09:54:00
200183,3002,72.53,USD,2026-08-23 12:03:00
200184,4353,139.11,USD,2026-08-23 05:47:00
200185,2359,242.79,USD,2026-08-23 01:13:00
200186,6531,210.35,USD,2026-08-23 20:01:00
200187,3764,78.9,USD,2026-08-23 10:32:00
200188,3293,235.02,USD,2026-08-23 06:36:00
200189,7390,146.01,USD,2026-08-23 15:59:00
200190,8585,142.62,USD,2026-08-23 10:48:00
200191,6153,218.43,USD,2026-08-24 02:41:00
200192,6906,134.84,USD,2026-08-24 23:47:00
200193,2039,48.24,USD,2026-08-24 02:51:00
200194,4363,147.45,USD,2026-08-24 02:42:00
200195,5668,101.71,USD,2026-08-24 16:59:00
200196,6405,247.18,USD,2026-08-24 03:24:00
200197,1760,165.68,USD,2026-08-24 19:13:00
200198,9836,164.65,USD,2026-08-24 06:20:00
200199,4012,97.6,USD,2026-08-24 02:42:00
200200,5680,122.75,USD,2026-08-24 09:39:00
200201,6222,63.04,USD,2026-08-24 01:56:00
200202,7153,216.89,USD,2026-08-24 09:02:00
200203,2897,59.67,USD,2026-08-24 18:12:00
200204,8493,150.77,USD,2026-08-24 16:46:00
200205,1988,45.37,USD,2026-08-24 05:36:00
200206,2562,112.78,USD,2026-08-24 07:03:00
200207,1318,220.61,USD,2026-08-24 21:17:00
200208,6162,205.31,USD,2026-08-24 12:54:00
200209,3398,98.32,USD,2026-08-24 16:31:00
200210,9117,48.42,USD,2026-08-24 17:11:00
200211,3273,38.33,USD,2026-08-24 06:36:00
200212,5376,138.35,USD,2026-08-24 13:21:00
200213,9718,224.33,USD,2026-08-24 21:07:00
200214,2879,236.64,USD,2026-08-24 22:55:00
200215,7266,27.29,USD,2026-08-24 03:39:00
200216,4816,247.69,USD,2026-08-24 05:10:00
200217,1304,54.82,USD,2026-08-24 20:02:00
200218,4001,198.63,USD,2026-08-24 03:14:00
200219,8212,127.47,USD,2026-08-24 02:14:00
200220,7043,131.63,USD,2026-08-24 12:22:00
200221,7924,156.21,USD,2026-08-24 03:35:00
200222,4535,18.63,USD,2026-08-24 09:09:00
200223,5091,141.1,USD,2026-08-24 23:28:00
200224,3691,153.73,USD,2026-08-24 20:25:00
200225,5353,113.19,USD,2026-08-24 12:21:00
200226,9921,192.17,USD,2026-08-24 10:28:00
200227,3661,156.27,USD,2026-08-24 22:32:00
200228,4709,112.5,USD,2026-08-24 20:47:00
200229,7695,130.51,USD,2026-08-24 12:43:00
200230,9304,70.24,USD,2026-08-24 10:53:00
200231,7657,88.92,USD,2026-08-24 22:30:00
200232,2727,207.78,USD,2026-08-24 15:35:00
200233,8090,152.62,USD,2026-08-24 09:54:00
200234,8528,235.93,USD,2026-08-24 18:35:00
200235,5362,201.55,USD,2026-08-24 08:49:00
200236,5192,42.77,USD,2026-08-24 14:19:00
200237,4168,95.18,USD,2026-08-24 12:30:00
200238,2550,30.56,USD,2026-08-24 09:19:00
200239,1479,163.62,USD,2026-08-24 05:41:00
200240,3387,105.69,USD,2026-08-24 15:10:00
200241,6476,209.34,USD,2026-08-24 11:51:00
200242,2597,113.49,USD,2026-08-24 07:54:00
200243,7156,178.76,USD,2026-08-24 09:02:00
200244,7857,147.52,USD,2026-08-24 09:16:00
200245,2492,103.65,USD,2026-08-24 04:17:00
200246,8659,108.72,USD,2026-08-24 07:10:00
200247,5831,62.42,USD,2026-08-24 09:13:00
200248,3428,179.39,USD,2026-08-24 17:43:00
200249,8411,215.48,USD,2026-08-24 15:51:00
200250,7465,174.92,USD,2026-08-24 11:07:00
200251,4632,170.74,USD,2026-08-24 17:30:00
200252,8734,112.28,USD,2026-08-24 12:22:00
200253,5572,108.51,USD,2026-08-24 16:29:00
200254,2358,204.73,USD,2026-08-24 17:27:00
200255,3625,218.95,USD,2026-08-24 08:42:00
200256,9274,161.5,USD,2026-08-24 15:09:00
200257,7208,214.68,USD,2026-08-24 15:54:00
200258,2887,148.04,USD,2026-08-24 22:51:00
200259,2381,98.04,USD,2026-08-24 10:18:00
200260,1425,65.89,USD,2026-08-24 17:29:00
200261,5553,205.8,USD,2026-08-24 03:22:00
200262,4770,114.37,USD,2026-08-24 06:51:00
200263,8843,42.85,USD,2026-08-24 15:02:00
200264,2826,67.28,USD,2026-08-24 15:29:00
200265,7484,217.43,USD,2026-08-24 03:05:00
200266,1989,83.98,USD,2026-08-24 06:59:00
200267,2497,244.81,USD,2026-08-24 02:11:00
200268,7373,116.22,USD,2026-08-24 02:21:00
200269,8324,232.07,USD,2026-08-24 08:20:00
200270,9520,237.47,USD,2026-08-24 18:13:00
200271,1483,43.9,USD,2026-08-24 20:53:00
200272,6404,142.95,USD,2026-08-24 11:58:00
200273,9068,235.91,USD,2026-08-24 00:50:00
200274,9895,238.64,USD,2026-08-24 10:39:00
200275,8757,154.03,USD,2026-08-24 05:19:00
200276,9728,123.85,USD,2026-08-24 05:13:00
200277,8273,185.82,USD,2026-08-24 18:17:00
200278,6984,222.48,USD,2026-08-24 00:43:00
200279,3519,104.48,USD,2026-08-24 14:34:00
200280,1891,139.16,USD,2026-08-24 11:49:00
200281,1232,212.24,USD,2026-08-24 17:18:00
200282,9443,63.4,USD,2026-08-24 22:26:00
200283,2213,185.34,USD,2026-08-24 09:17:00
200284,3099,198.02,USD,2026-08-24 14:18:00
200285,8395,173.26,USD,2026-08-24 09:44:00
200286,4806,243.49,USD,2026-08-24 14:27:00
200287,1048,196.38,USD,2026-08-24 11:44:00
200288,7551,141.06,USD,2026-08-24 02:41:00
200289,9292,230.31,USD,2026-08-24 11:38:00
200290,9257,147.32,USD,2026-08-24 01:51:00
200291,2292,103.9,USD,2026-08-24 07:14:00
200292,1297,225.56,USD,2026-08-24 18:42:00
